account_number	cust_name	phone_number	purchase_points
1	Twyla D'Alesco	913-903-0928	3
2	Tami Dyas	295-605-0882	1813
3	Munroe Edgerton	956-747-6790	663
4	Tamra Gilroy	768-743-9605	9100
5	Fidelity Rapport	878-835-5455	7689
6	Hayley Hurlston	822-727-4509	712
7	Maire Beakes	647-384-5081	3
8	Park Colthard	354-984-9178	2
9	Jenine Veck	370-721-2755	13341
10	Cosimo Maasz	118-171-8207	8469
11	Tobin Edds	785-119-1281	463
12	Urbain Gaydon	937-706-6637	81
13	Ty Woodrooffe	985-163-6243	77575
14	Ynez Northin	159-244-3080	95977
15	Vinny Verni	479-400-0601	3
16	Melanie Laurencot	839-235-8308	8571
17	Jo Loughnan	762-692-8654	2167
18	Gallagher Bettinson	228-811-0896	82
19	Nicola Truitt	560-311-8215	8
20	Sula Grundwater	485-416-7249	10511
21	Helenelizabeth Marrison	557-337-7334	60
22	Kanya Phalip	287-304-2563	96
23	Malissa Sloper	775-846-0502	8
24	Kristopher Boecke	800-410-6588	9343
25	Charles Spurryer	688-614-4378	14
26	Mandie Trenchard	330-434-7673	7
27	Cindie Wherrett	743-147-5238	3
28	Marielle Frears	375-970-8762	8
29	Janette Nealy	100-881-5590	20442
30	Law Sicely	911-434-2040	356
31	Rodger Overland	120-690-6250	630
32	Gus Vanichkin	341-237-5262	9371
33	Meriel Ivanchin	666-872-1886	9
34	Kendricks Isac	297-773-9038	5
35	Emmey Gillanders	208-439-7010	2
36	Hurley Baiss	332-573-8090	46
37	Patty Lampaert	117-430-3198	52
38	Odella Whittier	212-989-7287	456
39	Cosetta Golda	916-944-8450	5553
40	Avram Cradey	822-902-7333	0
41	Morly Mitchelmore	464-948-0051	0
42	Lilian Hynam	858-203-9353	162
43	Gianina Toffel	572-381-3732	33359
44	Maggy Malan	398-471-0868	773
45	Elenore Everleigh	412-217-6538	51347
46	Daveta Concannon	887-425-8303	253
47	Grace Craxford	989-359-0501	6
48	Mervin Firman	374-995-5578	69
49	Aldo Gusney	936-521-4209	9256
50	Karlis Diter	853-390-6192	9300
51	Kelby Ryott	748-637-2574	88
52	Dory Pulhoster	895-421-2271	81034
53	Anica Manclark	710-230-3182	7232
54	Kenneth Shellshear	746-373-7241	3833
55	Gretel Moorcraft	475-716-4350	9239
56	Davita Gosforth	222-849-0009	6
57	Jessey Marking	100-595-7419	36
58	Eartha Capelen	970-185-7179	80000
59	Davine Scones	289-264-4562	8200
60	Ramonda Valerio	396-653-1144	34
61	Joshua Kitteman	414-218-9187	4500
62	Alida Jakoubek	265-721-0721	699
63	Skip Organer	801-106-3200	38
64	Wilbert Dimeloe	278-863-7039	9866
65	Milzie Sparey	787-291-7026	59492
66	Krystyna Koschke	409-768-4294	0
67	Alvie Cornhill	337-365-4662	93330
68	Ailina Wilkison	438-404-2691	3959
69	Brady Szymanzyk	221-265-1701	590
70	Neila O'Bradane	345-875-4871	9003
71	Dotty Eggleston	543-256-6629	28007
72	Sonya Bliven	180-508-0180	64038
73	Charmane Crayden	877-627-9687	64
74	Katti Dibnah	185-293-6842	79819
75	Valery Lambourne	868-199-4742	398
76	Georgena Macartney	537-482-2841	1823
77	Egon Coundley	555-833-6588	220
78	Angel Goneau	832-425-2054	27
79	Pearl Bramwell	778-785-8289	81652
80	Clerkclaude Munkley	898-925-4356	27
81	Nancie MacMechan	394-340-3557	2834
82	Joseph Mugg	804-366-7190	72
83	Suzann Matczak	195-105-2441	7688
84	Brynna Hartwell	798-323-2048	302
85	Anallese Gittens	595-450-2295	963
86	Yule Radenhurst	923-117-3692	507
87	Pincas Reveland	334-346-7034	84089
88	Chris Snary	480-338-7241	9
89	Adria Calbrathe	183-920-1947	9
90	Ellene Theodoris	130-716-1682	84278
91	Ripley Jellett	115-653-4289	6465
92	Ruthann Flori	308-532-5461	0
93	Angel Nickerson	732-790-6421	90
94	Flory McKeggie	608-956-1573	82434
95	Goraud Ipsly	902-763-9148	912
96	Fremont Husthwaite	650-658-1467	794
97	Fawne Campana	625-876-0833	66
98	Delainey Greenalf	339-545-8977	6
99	Mitchael Lloyd-Williams	769-675-6293	85668
100	Clementia Yannoni	471-528-6964	12100
101	Cameron Glading	474-456-5903	14
102	Gradeigh Burnsyde	637-701-7944	92622
103	Lorry Bellew	796-435-4065	19105
104	Uriel Ballentime	712-425-8846	0
105	Auberta Chater	997-453-2668	8135
106	Drusy Carlon	769-654-0088	86945
107	Ryann Skitterel	775-157-7754	9088
108	Yance Pitkin	727-644-9485	94
109	Georgeta Rait	747-922-8329	648
110	Britney Rawlcliffe	281-593-9279	5
111	Allison Ausello	778-493-0158	951
112	Petronella Catterick	784-160-7288	62
113	Engracia Lattos	797-183-3581	673
114	Rudolf Littlejohns	863-879-4490	3
115	Glenn Hethron	627-340-3348	184
116	Ralf Aitcheson	792-339-6126	0
117	Kora Dalgarno	438-288-8605	414
118	Olia Jentges	564-132-8138	125
119	Frederico Le Barr	296-978-0806	488
120	Drud Meletti	910-186-0028	5
121	Pierrette Faudrie	366-364-6685	4
122	Annamarie Papa	728-573-0445	125
123	Chucho Adshede	149-963-8028	7072
124	Wright Smittoune	788-913-6225	4
125	Adah Gobolos	817-698-6370	6
126	Arch Miere	456-303-4507	81011
127	Millard Storr	860-398-3314	532
128	Tanney Whitechurch	627-182-3352	76
129	Ludovico Eble	814-582-5486	5
130	Candy Cupitt	692-707-8836	5302
131	Jackson Petru	765-509-7030	6873
132	Ivar Saterweyte	333-122-6867	9669
133	Derron Bousquet	155-242-8380	80
134	Cory Frayne	125-945-0365	9685
135	Willie Densun	480-691-9645	23692
136	Debora Wythill	451-473-8555	28175
137	Darb Cholomin	776-124-7063	52767
138	Felipe Fealy	687-572-8679	311
139	Elonore Vigours	154-225-2650	730
140	Blondie Milborn	669-926-0149	9
141	Charley Falkous	124-163-5425	67
142	Martino Greensall	518-863-8544	8226
143	Elroy Spear	183-319-0621	871
144	Barron Cloake	290-689-8337	3117
145	Ina Syme	628-772-0714	857
146	Marcello Easson	632-695-2350	845
147	Pat Wilcox	764-687-5157	7235
148	Cherish Mirando	981-511-4065	68
149	Mora Ewles	392-571-4388	68
150	Glenda Monketon	168-705-1751	3701
151	Vania Chalfont	979-976-8701	7
152	Paula Ewbach	335-989-3483	3
153	Martina Deares	576-524-2951	38643
154	Ethelin Haggis	662-287-2092	99862
