purchase_id,date,total_price,store_id,account_number,online
1,7/20/2017,295,385,213-59-0327,false
2,9/4/2017,881,105,763-89-4757,false
3,6/29/2017,333,551,256-08-0510,true
4,12/26/2017,364,360,786-47-0636,false
5,8/1/2017,992,962,687-98-8378,true
6,8/29/2017,243,69,677-36-2268,true
7,10/7/2017,465,439,486-27-1413,false
8,4/22/2018,982,58,358-51-4797,false
9,9/30/2017,636,88,137-95-7090,false
10,3/11/2018,238,529,842-81-3086,true
11,4/27/2018,758,71,708-71-6385,true
12,6/30/2017,624,341,534-35-4132,false
13,6/4/2018,172,506,648-29-1790,true
14,11/28/2017,446,481,719-52-1931,false
15,2/10/2018,941,536,495-39-1006,true
16,9/1/2017,299,587,530-27-4396,false
17,12/2/2017,583,995,437-46-7579,true
18,10/31/2017,295,554,593-73-7230,false
19,11/19/2017,489,512,686-50-5956,false
20,10/22/2017,62,747,483-04-4624,false
21,2/19/2018,220,976,526-47-2955,true
22,4/24/2018,423,242,491-23-0784,true
23,12/20/2017,87,39,120-38-1085,true
24,6/10/2018,945,128,107-12-8221,false
25,6/4/2018,156,204,810-59-8576,false
26,4/26/2018,765,414,237-90-7002,true
27,3/3/2018,772,66,156-70-4573,false
28,10/20/2017,991,903,697-67-7597,false
29,6/23/2018,533,790,748-54-1207,false
30,6/5/2018,649,906,539-31-9046,true
31,7/11/2017,847,827,859-46-9581,true
32,4/7/2018,204,35,563-92-9487,true
33,5/14/2018,311,797,718-80-1305,false
34,8/13/2017,90,89,786-59-8251,true
35,3/13/2018,229,243,317-47-3922,false
36,8/20/2017,570,921,275-87-3496,true
37,12/20/2017,763,925,373-30-9667,false
38,1/23/2018,603,566,497-39-7491,false
39,9/4/2017,840,281,483-52-2449,false
40,12/28/2017,90,919,320-94-9717,true
41,11/10/2017,35,991,847-69-5504,true
42,6/25/2017,400,919,496-93-3634,false
43,4/2/2018,746,940,839-72-2805,true
44,12/9/2017,238,927,425-31-9375,true
45,12/13/2017,206,684,227-74-5816,false
46,10/27/2017,996,759,755-77-6721,false
47,7/1/2017,386,564,480-26-0520,false
48,5/6/2018,13,44,258-75-0056,true
49,11/10/2017,675,650,292-18-6796,true
50,3/22/2018,570,3,186-11-2184,false
51,3/19/2018,887,374,239-17-1198,true
52,9/13/2017,455,481,856-45-9283,true
53,11/12/2017,226,725,897-53-4603,false
54,2/15/2018,938,659,759-74-3966,false
55,7/31/2017,603,65,632-59-5423,false
56,9/12/2017,388,398,794-04-5606,true
57,4/10/2018,673,827,894-31-7882,true
58,11/7/2017,687,768,624-68-2096,false
59,4/23/2018,773,870,350-88-2447,false
60,12/2/2017,426,759,412-17-8091,false
61,10/31/2017,943,465,725-80-0223,false
62,9/25/2017,340,432,703-67-4120,false
63,10/14/2017,424,975,473-77-1221,false
64,10/24/2017,496,810,454-66-3834,false
65,9/10/2017,46,608,679-06-4356,false
66,12/29/2017,182,151,412-65-5337,true
67,10/21/2017,441,447,179-23-3555,true
68,5/30/2018,165,1000,411-47-1980,true
69,7/27/2017,536,624,498-26-5971,true
70,4/6/2018,653,148,332-57-3048,false
71,6/17/2018,586,832,828-85-0475,false
72,11/30/2017,907,118,242-87-6784,false
73,10/3/2017,328,387,466-54-4549,false
74,12/21/2017,327,330,886-24-2993,false
75,6/3/2018,876,964,357-50-6315,true
76,4/22/2018,3,258,306-64-7043,false
77,10/6/2017,320,778,658-53-2389,true
78,3/25/2018,279,146,433-70-7985,false
79,8/5/2017,728,274,799-67-4243,true
80,9/2/2017,313,908,202-86-1943,true
81,12/20/2017,139,98,261-99-2547,false
82,6/8/2018,491,468,390-56-6952,false
83,12/10/2017,806,508,552-09-0491,false
84,12/22/2017,52,844,437-55-9425,true
85,1/9/2018,938,221,452-79-0147,false
86,1/23/2018,621,66,268-57-4332,false
87,6/26/2017,725,471,277-94-6789,false
88,4/24/2018,250,859,472-36-8545,true
89,7/30/2017,122,5,324-87-0418,true
90,8/25/2017,761,286,691-44-3749,false
91,10/9/2017,457,871,724-37-5187,false
92,2/5/2018,883,496,642-99-1304,false
93,3/19/2018,147,312,433-79-6982,true
94,9/7/2017,978,182,465-40-8942,false
95,6/11/2018,60,560,175-62-5592,false
96,2/2/2018,181,911,285-68-2213,false
97,5/4/2018,333,146,726-69-6506,true
98,11/10/2017,895,607,811-43-6882,false
99,11/5/2017,943,501,319-23-5370,false
100,4/4/2018,320,981,109-90-6874,false
101,12/26/2017,563,327,476-01-8134,true
102,8/30/2017,560,799,644-98-0314,true
103,6/24/2017,664,664,802-62-6961,true
104,8/19/2017,326,101,138-43-0189,false
105,4/3/2018,805,276,252-86-3238,false
106,6/11/2018,419,23,332-45-6565,false
107,9/9/2017,940,353,582-42-1733,false
108,10/28/2017,969,685,759-49-5734,false
109,8/13/2017,477,282,356-17-6281,false
110,9/11/2017,414,2,764-14-8443,false
111,10/1/2017,191,346,402-22-6130,true
112,1/5/2018,314,218,415-23-4427,true
113,12/8/2017,533,217,221-86-5063,false
114,10/29/2017,783,383,360-59-1578,true
115,11/22/2017,782,76,528-22-6000,true
116,7/11/2017,517,767,386-15-3519,true
117,8/23/2017,995,426,282-29-4575,true
118,5/11/2018,207,354,445-53-7769,false
119,6/27/2017,272,776,353-17-9691,true
120,5/22/2018,893,632,256-71-9339,false
121,2/26/2018,6,345,563-47-5647,true
122,5/7/2018,5,310,332-21-4240,false
123,5/17/2018,566,880,683-59-6061,true
124,11/29/2017,159,371,452-49-7209,true
125,8/23/2017,881,729,282-36-5470,false
126,1/24/2018,482,255,652-45-1536,false
127,9/27/2017,579,385,182-74-8769,true
