purchase_id,store_id,account_number,total_price,online
1,601,389-98-3319,894,FALSE
2,747,604-30-2071,211,TRUE
3,531,722-94-1183,71,FALSE
4,796,857-57-5673,978,FALSE
5,918,438-93-4176,180,TRUE
6,894,325-74-3033,701,TRUE
7,675,292-92-0819,516,TRUE
8,528,332-37-1148,700,TRUE
9,559,720-08-5182,201,FALSE
10,640,387-18-5861,656,FALSE
11,83,739-45-3789,241,TRUE
12,717,287-63-4416,893,TRUE
13,618,824-24-6709,738,FALSE
14,405,463-95-3134,810,FALSE
15,350,800-69-9255,226,FALSE
16,964,871-51-6974,164,FALSE
17,458,529-98-1575,316,FALSE
18,975,190-45-9065,388,TRUE
19,142,884-56-3964,677,FALSE
20,724,678-95-4900,519,FALSE
21,172,580-92-4850,496,TRUE
22,577,781-64-0585,787,TRUE
23,515,699-84-3033,234,TRUE
24,937,476-15-7161,909,FALSE
25,506,497-01-5784,253,FALSE
26,840,843-84-9928,480,TRUE
27,549,821-22-0387,400,TRUE
28,239,478-10-6408,515,FALSE
29,485,495-13-8858,150,FALSE
30,654,561-01-2421,161,TRUE
31,789,492-40-5733,33,TRUE
32,807,257-99-1902,63,TRUE
33,133,555-83-1945,875,TRUE
34,372,212-47-3112,920,TRUE
35,498,221-65-5155,264,TRUE
36,921,152-17-7897,584,TRUE
37,633,686-48-6965,957,TRUE
38,348,127-67-5001,825,FALSE
39,993,505-31-1420,503,FALSE
40,424,468-51-9949,710,FALSE
41,184,859-84-5420,290,TRUE
42,354,359-11-3205,380,FALSE
43,71,362-83-8675,998,FALSE
44,790,153-21-2426,647,FALSE
45,81,806-17-4832,216,TRUE
46,747,142-86-4330,885,TRUE
47,91,605-18-3793,965,FALSE
48,447,107-04-8386,106,FALSE
49,216,714-60-0788,314,TRUE
50,962,288-56-7642,392,FALSE
51,66,407-31-1370,187,TRUE
52,243,743-64-8091,822,FALSE
53,561,882-59-6252,116,FALSE
54,904,676-57-7901,69,FALSE
55,530,139-69-8885,417,FALSE
56,972,874-63-7147,844,TRUE
57,239,396-17-4781,520,FALSE
58,106,411-16-7650,462,FALSE
59,111,564-44-7964,416,TRUE
60,440,828-38-7667,740,FALSE
61,552,220-03-8345,529,TRUE
62,89,809-01-2956,269,FALSE
63,911,630-61-5547,566,FALSE
64,588,815-24-9230,988,TRUE
65,219,422-97-1765,115,FALSE
66,305,757-69-7522,77,FALSE
67,803,394-26-7779,329,FALSE
68,600,744-41-8761,796,TRUE
69,363,126-11-6844,471,FALSE
70,482,464-32-9274,471,TRUE
71,475,476-11-3435,455,FALSE
72,691,672-92-7520,473,TRUE
73,889,863-30-3050,967,FALSE
74,527,108-50-8633,536,TRUE
75,252,493-34-2218,699,FALSE
76,125,639-51-9614,699,TRUE
77,794,325-20-0649,105,TRUE
78,631,638-39-1268,738,FALSE
79,494,163-74-3817,322,TRUE
80,338,379-71-8565,23,FALSE
81,336,446-99-8214,316,FALSE
82,54,796-34-7174,596,TRUE
83,172,605-47-7811,374,FALSE
84,539,186-74-6711,687,TRUE
85,484,285-94-5389,451,FALSE
86,165,217-18-9608,540,TRUE
87,200,524-57-0989,616,FALSE
88,804,757-77-4030,209,FALSE
89,839,537-77-3323,730,TRUE
90,825,770-37-2285,89,TRUE
91,990,408-01-5663,43,TRUE
92,400,583-47-8848,251,FALSE
93,568,557-92-7455,179,TRUE
94,481,889-02-3699,876,FALSE
95,179,676-03-3043,519,TRUE
96,57,235-74-7441,867,TRUE
97,363,520-96-4237,816,FALSE
98,407,117-03-0218,76,FALSE
99,400,595-63-5992,871,FALSE
100,134,360-61-8595,414,FALSE
101,905,260-27-4518,87,TRUE
102,920,278-13-5375,174,FALSE
103,475,576-13-9105,181,FALSE
104,416,873-72-4333,1,FALSE
105,830,139-91-5317,992,TRUE
106,851,787-87-3405,63,FALSE
107,399,199-53-7729,916,FALSE
108,510,155-62-3464,112,TRUE
109,591,474-61-2006,595,FALSE
110,470,702-46-1022,804,TRUE
111,153,342-97-5841,462,FALSE
112,729,333-43-9270,382,TRUE
113,581,421-60-7549,602,FALSE
114,77,809-07-1254,169,TRUE
115,481,479-78-3903,179,TRUE
116,245,591-52-3344,340,TRUE
117,109,493-11-7526,624,TRUE
118,865,168-46-0755,621,TRUE
119,557,741-19-4181,883,TRUE
120,872,717-15-8357,376,TRUE
121,532,816-66-5121,608,TRUE
122,911,557-32-1272,793,FALSE
123,440,103-37-7534,785,FALSE
124,199,652-23-3688,40,FALSE
125,369,881-50-7433,360,TRUE
126,957,840-21-2740,674,FALSE
127,961,825-75-4391,446,FALSE
128,448,715-54-8326,888,TRUE
129,36,537-41-3164,925,FALSE
130,348,332-20-3891,805,FALSE
131,501,275-27-0089,325,FALSE
132,252,727-38-8839,363,TRUE
133,927,525-70-0465,337,FALSE
134,44,541-44-8972,679,TRUE
135,634,858-77-9936,382,TRUE
136,608,440-51-4566,64,TRUE
137,33,777-08-1847,548,TRUE
138,624,419-57-1022,865,FALSE
139,246,819-32-6630,938,TRUE
140,993,555-85-1521,214,TRUE
141,763,590-64-8270,314,FALSE
142,939,720-44-0920,37,TRUE
143,695,197-96-2087,246,TRUE
144,511,871-69-0164,750,FALSE
145,49,737-76-0474,986,TRUE
146,424,485-73-3706,270,FALSE
147,586,506-83-4926,290,TRUE
148,644,469-81-7252,470,FALSE
149,519,486-79-1622,881,FALSE
150,945,508-84-6477,964,TRUE
151,171,141-65-3520,289,FALSE
152,585,758-50-6999,517,FALSE
153,933,554-49-1213,816,FALSE
154,168,686-66-5629,620,TRUE
155,313,315-59-4192,892,TRUE
156,457,219-70-2403,789,TRUE
157,416,673-74-9962,799,TRUE
158,248,686-59-6078,353,TRUE
159,922,614-92-3041,954,TRUE
160,868,143-25-6693,518,TRUE
161,374,382-97-3181,695,FALSE
162,504,481-95-8047,302,FALSE
163,22,771-55-8408,288,FALSE
164,787,898-25-6755,64,TRUE
165,605,361-46-2465,436,FALSE
166,113,222-75-1931,650,FALSE
167,505,516-26-6350,829,TRUE
168,616,265-15-4493,669,TRUE
169,103,765-77-2877,814,TRUE
170,864,124-82-7022,551,TRUE
171,956,237-51-3621,465,FALSE
172,166,503-13-0694,139,TRUE
173,128,514-87-9735,991,TRUE
174,819,490-52-0248,629,TRUE
175,700,752-19-5447,817,FALSE
176,890,359-09-7946,53,FALSE
177,885,838-70-5889,464,TRUE
178,880,354-04-9272,787,TRUE
179,526,520-30-3952,525,TRUE
180,639,199-83-9099,529,FALSE
181,678,680-43-9232,935,TRUE
182,862,437-24-9593,902,TRUE
183,624,243-46-1113,170,FALSE
184,315,770-63-4316,608,TRUE
185,59,713-65-3983,253,TRUE
186,287,411-66-0797,648,TRUE
187,224,196-31-1435,846,FALSE
188,417,108-44-6385,214,FALSE
189,295,139-78-3384,945,FALSE
190,58,282-23-9075,273,TRUE
191,970,592-94-7236,493,FALSE
192,356,829-23-4446,132,TRUE
193,555,112-17-9469,871,TRUE
194,21,148-61-9026,116,TRUE
195,969,776-10-4435,711,TRUE
196,411,133-56-8655,103,FALSE
197,289,842-22-8196,587,TRUE
198,985,308-60-4615,806,TRUE
199,41,289-20-1638,920,TRUE
200,321,696-56-7238,750,TRUE
201,378,486-43-7721,710,FALSE
202,904,849-38-1829,27,TRUE
203,113,388-69-0984,689,TRUE
204,80,259-24-9957,425,FALSE
205,98,724-69-0125,955,FALSE
206,58,625-75-1152,698,FALSE
207,98,289-57-1858,238,TRUE
208,137,794-62-2187,81,TRUE
209,378,367-84-4979,972,TRUE
210,632,747-17-0584,668,FALSE
211,701,259-06-0249,340,FALSE
212,852,454-73-5975,687,FALSE
213,706,534-89-1877,553,TRUE
214,477,520-91-4050,787,TRUE
215,60,534-19-8063,514,FALSE
216,285,700-79-7239,839,FALSE
217,368,366-13-5238,927,TRUE
218,15,739-89-7010,1000,FALSE
219,876,536-22-3824,878,FALSE
220,816,215-40-4299,52,FALSE
221,621,244-68-3503,65,FALSE
222,231,234-04-5670,534,TRUE
223,149,274-60-2203,767,TRUE
224,681,238-45-1141,547,FALSE
225,367,482-76-0160,848,FALSE
226,519,366-63-8276,853,TRUE
227,696,497-57-6903,779,TRUE
228,357,401-22-5157,57,TRUE
229,817,255-51-7475,244,FALSE
230,951,635-26-9994,225,FALSE
231,766,274-31-6536,645,FALSE
232,5,676-15-4022,650,FALSE
233,571,138-61-3170,112,TRUE
234,481,622-78-5947,566,TRUE
235,637,789-36-8302,835,FALSE
236,247,552-99-6737,435,FALSE
237,966,589-32-5998,933,FALSE
238,899,866-27-0920,81,TRUE
239,441,571-57-8906,718,TRUE
240,522,843-15-6519,288,TRUE
241,46,819-90-4306,773,FALSE
242,212,415-83-3131,979,FALSE
243,401,261-62-1718,806,FALSE
244,816,435-12-1340,540,TRUE
245,532,517-84-1320,607,FALSE
246,681,845-98-8518,941,TRUE
247,737,483-36-7418,436,FALSE
248,230,815-28-1136,250,TRUE
249,796,572-72-4368,83,TRUE
250,51,100-58-9219,935,FALSE
251,172,843-35-9571,73,FALSE
252,57,674-93-0979,111,FALSE
253,983,150-84-5310,820,TRUE
254,508,830-64-0827,418,FALSE
255,38,354-71-8070,386,FALSE
256,186,521-34-9170,166,TRUE
257,693,345-72-1997,464,FALSE
258,122,648-80-9482,969,FALSE
259,673,570-57-2525,563,FALSE
260,892,577-91-8596,826,FALSE
261,263,281-39-6636,41,TRUE
262,517,881-01-2788,69,FALSE
263,200,362-06-9561,423,FALSE
264,553,826-76-9364,299,TRUE
265,295,346-24-8045,809,TRUE
266,319,756-35-3857,724,FALSE
267,257,367-46-1684,434,TRUE
268,430,850-37-9392,29,FALSE
269,270,555-20-6645,20,TRUE
270,153,220-01-7153,289,TRUE
271,899,705-51-6368,906,TRUE
272,505,780-36-1144,577,FALSE
273,727,827-31-8463,364,FALSE
274,260,340-18-4880,282,TRUE
275,653,373-81-7907,71,TRUE
276,477,385-04-1937,643,TRUE
277,252,365-14-2709,551,TRUE
278,979,411-78-3756,338,FALSE
279,620,841-06-3989,34,FALSE
280,18,510-57-9359,180,FALSE
281,862,509-25-9388,214,TRUE
282,864,319-12-5030,236,FALSE
283,825,894-91-3362,62,TRUE
284,993,285-34-2034,24,FALSE
285,604,627-80-5490,543,FALSE
286,736,754-94-8050,61,FALSE
287,642,776-39-4337,520,TRUE
288,546,148-90-3189,280,TRUE
289,33,707-68-2882,836,TRUE
290,81,428-01-3158,864,FALSE
291,446,495-85-8662,911,FALSE
292,457,567-37-3140,481,TRUE
293,762,306-38-1285,228,TRUE
294,584,726-53-5942,462,TRUE
295,571,539-54-3524,644,TRUE
296,58,309-34-3800,537,FALSE
297,661,141-08-0182,735,TRUE
298,600,178-52-9784,839,TRUE
299,127,501-33-2738,589,FALSE
300,725,602-59-9919,561,FALSE
301,425,116-71-6474,390,FALSE
302,957,888-14-4364,988,TRUE
303,532,140-49-8852,643,FALSE
304,37,134-04-2415,163,FALSE
305,955,863-04-8172,193,FALSE
306,557,690-50-7561,141,TRUE
307,881,406-06-3075,615,FALSE
308,236,571-18-5096,840,FALSE
309,315,810-18-3795,577,TRUE
