purchase_id	store_id	account_number	total_price	online
1	730	657	905	true
2	269	886	522	false
3	155	927	481	true
4	599	459	73	false
5	882	500	566	true
6	585	729	546	true
7	411	415	722	true
8	54	596	683	true
9	306	611	625	false
10	8	44	629	true
11	182	492	765	true
12	469	634	200	false
13	158	83	228	true
14	729	101	638	false
15	353	955	949	false
16	236	545	309	false
17	250	734	943	true
18	679	869	824	true
19	472	345	327	true
20	463	41	624	false
21	456	387	582	true
22	294	822	772	true
23	303	934	79	false
24	993	901	22	true
25	9	725	377	true
26	882	4	918	true
27	769	710	837	true
28	76	837	37	true
29	163	708	227	true
30	699	495	956	true
31	531	467	855	true
32	388	165	260	false
33	318	120	747	true
34	850	977	533	true
35	990	594	639	true
36	875	402	1000	true
37	42	64	264	true
38	773	462	718	false
39	482	770	128	true
40	64	624	549	true
41	309	698	247	false
42	644	670	780	false
43	186	216	906	false
44	524	942	926	true
45	475	182	539	false
46	625	934	816	true
47	592	26	96	false
48	174	536	28	false
49	445	664	519	true
50	367	37	380	true
51	836	774	624	false
52	468	808	273	true
53	844	327	94	true
54	775	136	474	false
55	591	390	311	false
56	82	177	699	false
57	196	344	418	false
58	438	425	826	false
59	539	647	27	false
60	94	565	489	false
61	676	98	150	true
62	317	762	1	false
63	312	931	924	true
64	414	798	192	false
65	853	627	683	false
66	863	733	408	false
67	602	883	65	true
68	875	275	102	false
69	602	387	926	false
70	700	729	546	false
71	526	954	834	true
72	412	454	823	false
73	549	370	478	false
74	337	538	533	true
75	870	924	549	false
76	915	42	426	true
77	408	94	715	true
78	499	821	546	false
79	398	825	746	false
80	75	722	538	false
81	778	24	555	true
82	163	986	19	false
83	918	943	567	true
84	614	315	302	true
85	266	57	48	false
86	952	40	844	false
87	855	418	131	false
88	857	609	439	false
89	925	72	434	true
90	623	932	707	false
91	798	572	997	false
92	375	101	215	true
93	940	356	350	true
94	177	587	318	false
95	518	21	452	true
96	722	114	423	true
97	546	668	657	true
98	181	638	723	true
99	790	207	101	false
100	159	954	548	false
101	820	667	317	false
102	553	266	957	false
103	402	849	3	true
104	970	305	549	false
105	28	700	365	false
106	464	441	390	true
107	557	421	738	true
108	27	920	132	true
109	614	882	836	true
110	728	942	590	true
111	406	114	258	true
112	413	733	596	false
113	892	860	242	false
114	191	807	534	false
115	547	704	492	true
116	90	525	882	false
117	380	829	133	false
118	602	36	928	false
119	650	992	627	false
120	26	632	285	false
121	818	852	409	true
122	730	178	611	false
123	707	996	749	false
124	118	457	371	true
125	390	743	740	true
126	823	791	125	true
127	858	150	678	false
128	203	983	142	false
129	760	844	84	true
130	872	551	360	true
131	925	3	370	false
132	908	147	709	true
133	72	175	973	true
134	625	630	774	true
135	287	92	223	false
136	721	203	319	true
137	84	303	166	false
138	240	227	132	false
139	371	868	627	true
140	307	465	109	false
141	396	237	532	false
142	457	794	623	true
143	992	620	196	true
144	467	173	771	false
145	205	779	158	false
146	670	582	928	true
147	545	490	61	true
148	510	812	526	false
149	868	383	278	true
150	176	79	167	false
151	519	719	506	false
152	846	209	486	false
153	999	394	884	false
154	617	844	223	false
155	394	76	514	true
156	92	707	629	true
157	443	402	440	false
158	688	745	242	false
159	371	685	490	true
160	353	763	599	false
161	442	57	815	false
162	525	431	399	false
163	865	227	854	true
164	59	448	818	true
165	318	265	592	true
166	338	551	698	false
167	617	262	834	true
168	99	792	299	false
169	272	106	170	false
170	982	383	504	true
171	161	296	448	true
172	918	285	548	true
173	396	423	814	true
174	384	161	51	false
175	142	148	545	true
176	550	767	621	false
177	826	473	901	false
178	485	886	112	true
179	887	235	15	true
180	738	368	947	true
181	113	777	3	false
182	595	572	477	true
183	359	660	354	true
184	207	421	238	true
185	983	96	310	false
186	117	867	457	false
187	192	523	581	true
188	377	130	345	false
189	689	772	435	false
190	987	761	586	false
191	194	628	593	true
192	933	881	552	false
193	773	229	905	false
194	812	695	672	true
195	378	931	438	false
196	361	996	181	true
197	418	538	216	true
198	708	81	701	true
199	185	46	296	true
200	190	215	664	false
201	951	588	438	true
202	945	876	677	false
203	647	769	30	true
204	827	248	159	true
205	841	129	334	false
206	987	606	52	false
207	726	971	240	false
208	16	597	248	false
209	455	165	779	true
210	347	622	947	false
211	989	233	702	false
212	124	479	568	false
213	720	72	289	false
214	375	982	230	true
215	121	903	319	false
216	77	961	360	true
217	422	128	888	false
218	978	304	73	true
219	451	950	353	false
220	418	22	175	true
221	314	219	995	true
222	69	356	900	false
223	410	305	476	true
224	727	705	238	false
225	26	859	512	true
226	469	411	810	false
227	770	49	620	true
228	844	559	336	true
229	83	784	922	true
230	655	678	30	false
231	849	241	982	false
232	904	963	645	false
233	115	5	470	false
234	901	291	701	true
235	701	939	699	false
236	887	932	344	true
237	254	718	325	true
238	805	238	738	true
239	314	453	760	false
240	854	663	377	false
241	973	471	681	true
242	262	994	213	true
243	420	501	764	true
244	428	330	987	true
245	108	420	10	false
246	702	368	630	false
247	150	611	901	true
248	249	802	449	false
249	756	342	647	true
250	507	274	174	false
251	735	557	960	true
252	932	713	360	false
253	647	731	423	true
254	168	330	400	true
255	721	333	986	true
256	999	484	802	false
257	500	360	485	true
258	495	117	988	true
259	999	352	963	true
260	32	236	786	true
261	549	659	266	false
262	757	679	679	false
263	537	162	610	true
264	203	462	250	true
265	742	862	169	true
266	686	574	451	false
267	712	602	835	false
268	286	499	756	true
269	294	723	472	false
270	169	553	25	true
271	618	851	22	false
272	681	701	52	true
273	705	501	184	false
274	923	807	115	false
275	426	334	806	true
276	554	15	908	false
277	296	42	428	false
278	783	163	743	true
279	14	77	432	true
280	718	105	406	true
281	768	459	990	false
282	31	197	788	true
283	146	392	426	false
284	981	551	728	false
285	993	375	970	false
286	145	143	458	true
287	169	855	217	true
288	923	232	212	true
289	920	432	886	false
290	481	881	96	true
291	825	20	512	false
292	994	714	188	true
293	316	207	845	false
294	879	129	85	true
295	660	600	947	true
296	811	938	790	false
297	447	479	711	true
298	851	769	124	false
299	890	641	60	true
300	781	730	522	true
301	883	47	329	true
302	408	383	912	true
303	95	327	314	false
304	933	201	641	true
305	58	152	504	true
306	412	712	35	true
307	670	458	724	true
308	152	732	737	true
309	517	394	233	false
310	600	491	335	true
311	534	169	124	true
312	442	477	471	false
